k,gP1,gP2,dA1,dA2,dB1,dB2,dC1,dC2,"sBY,sSL",xFC1,xFC2,xFD1,xFD2,bF,bF_actual,s_actual,xFD1_xFC2,xFD1_xFC2_actual,solar_radiation,pSL,w
10,0.0,0.0,1.0531914893617023,0.99,0.6382978723404256,0.6,11.063829787234043,10.4,-59999987.24468085,0.0,0.0,0.0,60000000.0,1891.7908105137758,1891.9800000000002,0.0,0.0,15.199999999999998,-1.3,12.65,0.0
11,0.0,0.0,1.0851063829787235,1.02,0.5319148936170213,0.5,10.638297872340424,10.0,-59999987.744680874,0.0,0.0,0.0,60000000.0,1891.771892605618,1891.9800000000002,0.0,0.0,14.2,-0.9,12.65,0.0
12,0.0,0.0,1.0000000000000002,0.9400000000000002,0.5319148936170213,0.5,11.595744680851064,10.9,-59999986.872340426,0.0,0.0,0.0,60000000.0,1891.75297488668,1891.9800000000002,0.0,0.0,15.3,-0.7,12.65,0.0
13,0.0,0.0,0.9468085106382977,0.89,0.6382978723404256,0.6,12.340425531914892,11.6,-59999986.07446809,0.0,0.0,0.0,60000000.0,1891.7340573569431,1891.9800000000002,0.0,0.0,15.199999999999998,-0.5,12.65,0.0
14,0.0,0.0,0.9680851063829786,0.9099999999999999,0.6382978723404256,0.6,11.702127659574467,11.0,-59999986.69148936,0.0,0.0,0.0,60000000.0,1891.7151400162838,1891.9800000000002,0.0,0.0,15.199999999999998,0.0,12.65,0.0
15,0.0,0.0,0.9468085106382977,0.89,0.5319148936170213,0.5,11.382978723404253,10.7,-59999987.1382979,0.0,0.0,0.0,60000000.0,1891.6962228649695,1891.9800000000002,0.0,0.0,15.199999999999998,0.0,12.65,0.0
16,0.0,0.0,1.0000000000000002,0.9400000000000002,0.6382978723404256,0.6,11.489361702127662,10.8,-59999986.872340426,0.0,0.0,0.0,60000000.0,1891.67730590282,1891.9800000000002,0.0,0.0,15.199999999999998,0.0,12.65,0.0
17,0.0,0.0,2.0851063829787235,1.9600000000000002,0.6382978723404256,0.6,9.893617021276595,9.3,-59999987.38297873,0.0,0.0,0.0,60000000.0,1891.658389129682,1891.9800000000002,0.0,0.0,14.2,-0.6,12.65,0.0
18,0.0,0.0,2.095744680851064,1.97,0.6382978723404256,0.6,10.851063829787233,10.2,-59999986.41489361,0.0,0.0,0.0,60000000.0,1891.639472545823,1891.9800000000002,0.0,0.0,15.199999999999998,-1.0,12.65,0.0
19,0.0,0.0,0.9680851063829786,0.9099999999999999,0.6382978723404256,0.6,12.76595744680851,12.0,-59999985.62765963,0.0,0.0,0.0,60000000.0,1891.6205561510656,1891.9800000000002,0.0,0.0,15.199999999999998,-1.2,12.65,0.0
20,0.0,0.0,0.9574468085106385,0.9,0.5319148936170213,0.5,15.957446808510639,15.0,-59999982.55319149,0.0,0.0,0.0,60000000.0,1891.6016399455257,1891.9800000000002,0.0,0.0,19.3,-1.2,12.65,0.0
21,0.0,0.0,0.9680851063829786,0.9099999999999999,0.6382978723404256,0.6,10.638297872340424,10.0,-59999987.755319186,0.0,0.0,0.0,60000000.0,1891.5827239291048,1891.9800000000002,0.0,0.0,14.2,-1.4,12.65,0.0
22,0.0,0.0,0.9680851063829786,0.9099999999999999,0.6382978723404256,0.6,10.638297872340424,10.0,-59999987.75531915,0.0,0.0,0.0,60000000.0,1891.5638081019279,1891.9800000000002,0.0,0.0,14.2,-1.5,12.65,0.0
23,0.0,0.0,1.0957446808510638,1.03,0.6382978723404256,0.6,8.936170212765958,8.4,-59999989.32978728,0.0,0.0,0.0,60000000.0,1891.5448924637847,1864.5600000000002,0.0,0.0,13.2,-1.5,12.65,0.0
24,0.0,0.0,1.0851063829787235,1.02,0.6382978723404256,0.6,9.255319148936168,8.7,-59999989.02127659,0.0,0.0,0.0,60000000.0,1891.5259770147968,1864.5600000000002,0.0,0.0,13.2,-1.3,12.65,0.0
25,0.0,0.0,1.0744680851063828,1.01,0.6382978723404256,0.6,10.53191489361702,9.9,-59999987.755319186,0.0,0.0,0.0,60000000.0,1891.50706175509,1864.5600000000002,0.0,0.0,14.2,-0.7,12.65,0.0
26,0.0,0.0,1.627659574468085,1.53,0.6382978723404256,0.6,13.617021276595747,12.8,-59999984.11702128,0.0,0.0,0.0,60000000.0,1891.4881466843653,1864.5600000000002,0.0,0.0,17.3,-0.2,12.65,0.0
27,0.0,0.0,1.5425531914893615,1.45,0.5319148936170213,0.5,14.255319148936168,13.4,-59999983.67021277,0.0,0.0,0.0,60000000.0,1891.4692318030059,1864.5600000000002,0.0,0.0,18.3,0.0,12.65,0.0
